Sao Tomé-et-Principe,STP,,3,,"2,42","2,495581","2,416119","2,65",,"2,495581"
Suriname,SUR,,,,,,,,,#NUM!
République slovaque,SVK,,3,"3,15","3,07","3,158906","3,121637","3,14","3,4","3,14"
Slovénie,SVN,,"3,09","2,9","3,25","3,508563","3,198462","3,05","3,3","3,198462"
Suède,SWE,,"4,06","4,22","3,9","3,98125","4,246615","3,98","4,2","4,06"
Eswatini,SWZ,,,,,,,,,#NUM!
Sint Maarten (Dutch part),SXM,,,,,,,,,#NUM!
Seychelles,SYC,,,,,,,,,#NUM!
République arabe syrienne,SYR,,"1,8","2,59","2,48","1,821006","1,394253","2,29","2,2","2,2"
Îles Turques-et-Caïques,TCA,,,,,,,,,#NUM!
Tchad,TCD,,"1,82","2,04",2,"2,337963","2,058635","2,62",,"2,0493175"
Asie de l’Est et Pacifique (BIRD et IDA),TEA,,"2,539230769","2,581538462","2,643076923","2,787358923","2,698927846","2,773076923","2,95","2,698927846"
Europe et Asie centrale (BIRD et IDA),TEC,,"2,402105263","2,563809524","2,68047619","2,695266333","2,560314429","2,698095238","2,855","2,68047619"
Togo,TGO,,"2,4","2,45","2,29","2,139669","2,462016","2,25","2,4","2,4"
Thaïlande,THA,,"3,31","3,16","2,98","3,288935","3,135446","3,41","3,5","3,288935"
Tadjikistan,TJK,,"1,9","2,25","2,22","2,468479","2,116068","2,33","2,8","2,25"
Turkménistan,TKM,,,"2,34",,"2,072016","2,088384","2,31",,"2,199192"
Amérique latine et Caraïbes (BIRD et IDA),TLA,,"2,522380952","2,653333333","2,6595","2,750890429","2,613130591","2,626190476","2,717391304","2,653333333"
Timor-Leste,TLS,,"1,6",,,,,,,"1,6"
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,,"2,297","2,53","2,4875","2,4463124","2,465706909","2,385","2,3625","2,4463124"
Tonga,TON,,,,,,,,,#NUM!
Asie du Sud (BIRD et IDA),TSA,,"2,324285714","2,3325","2,584285714","2,65656625","2,555364143","2,455","2,7","2,555364143"
Afrique subsaharienne (BIRD et IDA),TSS,,"2,328717949","2,283333333","2,422162162","2,409198405","2,421435275","2,38974359","2,569230769","2,409198405"
Trinité-et-Tobago,TTO,,,,,,"2,283842","2,27","2,4","2,283842"
Tunisie,TUN,,"2,43","2,36","3,12","2,422016","2,588889","2,3",,"2,426008"
Turquie,TUR,,"3,29","3,23","3,52","3,640789","3,312065","3,05","3,5","3,312065"
Tuvalu,TUV,,,,,,,,,#NUM!
Tanzanie,TZA,,"1,92","2,38","2,64","2,178621","2,916767",,,"2,38"
Ouganda,UGA,,"2,55","2,59",,,"2,931229","2,5",,"2,57"
Ukraine,UKR,,"2,41","2,59","2,85","2,840639","2,548983","2,84","2,6","2,6"
"Revenu intermédiaire, tranche supérieure",UMC,,"2,490882353","2,587142857","2,679285714","2,716812738","2,616895","2,636829268","2,75","2,636829268"
Uruguay,URY,,"2,45","2,59","2,98","2,576253","3,009295","2,71","3,1","2,71"
États-Unis,USA,,"3,85","3,92","3,96","3,970199","4,014226","3,87","3,9","3,92"
Ouzbékistan,UZB,,"2,15","2,5","2,39","2,368254","2,386613","2,59","2,6","2,39"
Saint-Vincent-et-les Grenadines,VCT,,,,,,,,,#NUM!
Venezuela,VEN,,"2,59","2,53","2,33","2,763729","2,341457","2,21","2,5","2,5"
Îles Vierges britanniques,VGB,,,,,,,,,#NUM!
Îles Vierges (EU),VIR,,,,,,,,,#NUM!
Viet Nam,VNM,,"2,8","2,89","2,68","3,092069","2,882517","3,4","3,2","2,89"
Vanuatu,VUT,,,,,,,,,#NUM!
Monde,WLD,,"2,706333333","2,758258065","2,818961039","2,853844969","2,823492844","2,815875","3,028776978","2,818961039"
Samoa,WSM,,,,,,,,,#NUM!
Kosovo,XKX,,,,,,,,,#NUM!
"Yémen, Rép. du",YEM,,"2,22","2,35","2,79","2,207403",,"2,26","2,6","2,305"
Afrique du Sud,ZAF,,"3,54","3,59","3,56","3,617883","3,747822","3,19","3,8","3,59"
Zambie,ZMB,,"2,44","2,01",,"2,467993","2,415493","2,48",,"2,44"
Zimbabwe,ZWE,,"2,21",,"2,27","2,498457","2,12967","2,16","2,3","2,24"
