Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
QCL,Cultures et produits animaux,826,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,1841000,A,Chiffre officiel
QCL,Cultures et produits animaux,646,Rwanda,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"13457,7",E,Valeur estimée
QCL,Cultures et produits animaux,662,Sainte-Lucie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"1366,3",I,Valeur imputée
QCL,Cultures et produits animaux,659,Saint-Kitts-et-Nevis,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"16,5",I,Valeur imputée
QCL,Cultures et produits animaux,670,Saint-Vincent-et-les Grenadines,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"452,7",I,Valeur imputée
QCL,Cultures et produits animaux,882,Samoa,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"403,3",I,Valeur imputée
QCL,Cultures et produits animaux,678,Sao Tomé-et-Principe,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"701,2",E,Valeur estimée
QCL,Cultures et produits animaux,686,Sénégal,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,133202,A,Chiffre officiel
QCL,Cultures et produits animaux,688,Serbie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,110528,A,Chiffre officiel
QCL,Cultures et produits animaux,690,Seychelles,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"1470,2",I,Valeur imputée
